service_id,service_category,service_name,cost,description
633e3bd5-2ac5-4491-8cde-dfdd4a337fc3,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
1e5dacea-2344-4182-8553-3474c391914f,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
b431a74d-f007-4ff1-82c5-a9b0010597f2,Hair,Hair Coloring,69,Full hair coloring service
1136b823-bfa5-4b20-a29d-c4319b612996,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
fd8b8e2f-f05b-4801-a137-330bfc19c086,Hair,Haircut,48,Basic haircut and styling
41629376-6aaf-4b15-a561-fbf9f18ecd84,Hair,Hair Coloring,69,Full hair coloring service
cfd8ebf3-4cd8-479d-8758-a6e88cbf2891,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
ae0b75c4-82ba-4402-a4bf-427c31584b65,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
7c20ed23-8b96-431e-a071-b3fc59a8b669,Hair,Hair Treatment,52,Treatment to improve hair health
5c62e673-4395-4298-b2b8-8ae94bcfc14f,Hair,Hair Treatment,52,Treatment to improve hair health
9b4192a6-deb6-4ab3-a71b-111118a1e59d,Hair,Haircut,48,Basic haircut and styling
c163d826-ec63-40f8-b2f3-4150de574add,Hair,Hair Coloring,69,Full hair coloring service
471c7e1c-e8af-496d-971c-f75b3e6758c9,Massage,Deep Tissue Massage,77,Intense massage focused on deep tissue layers
a633cf18-97bd-4f98-8185-8e390f5e5fa3,Hair,Hair Treatment,52,Treatment to improve hair health
5aa6faf0-69a5-40c5-85be-4e4da23bc0a8,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
da4f7118-eb65-4e03-830e-f65d9351afac,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
f7543c75-f9b7-4f58-86bb-1b4db11077d5,Hair,Haircut,48,Basic haircut and styling
0103955a-ee51-4cc5-8af0-dd894a9874c6,Hair,Haircut,48,Basic haircut and styling
b42794e6-01ba-4b5e-a61f-b07a83a21a68,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
0a6f1517-4019-46d7-87f7-b07b7ef5e9a3,Hair,Hair Coloring,69,Full hair coloring service
e74a7865-075d-4631-8367-e7dd988e1fb7,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
28a7bdf5-6bcc-4118-8414-780c5e419bc9,Massage,Hot Stone Massage,88,Massage using heated stones to relieve tension
2f5df267-551f-4633-8bf5-7f4eee0bcde7,Massage,Swedish Massage,62,Relaxing full-body massage using Swedish techniques
